Interactor 1	Interactor 2
Pfdn2	aPKC
dsh	msn
Rac1	upd1
aos	pix
Doc2	tll|erm|otp
ct	daw
RpS3|yki	grnd
rod	okr
shg	Prx2
Cdc42	grp
peb	RyR
btl::Egfr	Tao
Ras85D	Polr1B
pnr	Tl
PlexB	trio
y|ph-p	su(Hw)
hiw	wit
scat	Rab7
lok	Pino
Pp2B-14D	CanB
Pink1	GstO2
Orai	Rala
nej	fru
vkg	Col4a1
z|g	E(z)
Traf4	CycE
Atg1	Atg3
dpn	eag
upd1	Mad
rho	corto
γTub23C	brm
htl	hh
Nrt	Nrg
dnc	Gprk2
slbo	aop
Pgant4	Fur2
Gli::spi	S
mTor	CycE
yki	piwi
Pc	Su(Pc)35CD
csw	mask
Marf	out
cindr	poe
CycA	rux|Cdk1
DCTN1-p150	sev
mir-965	wg|stg
brat	sgg
PlexB	Pak
Ret	l(3)S001405
kermit	Khc
fru	robo2
mei-217	mei-41
shi	Hsc70-4
brk	tkv|Mad
ND-42	out
brm	htt
Snr1	CG6805
rpr	hid
aos	RpL38
slo	sei
foxo	srl
Toll-7	egr
S6k	HDAC3
Dref	Raf
kay	spag
lok	polo
Pink1	Uch
ASPP	Btk
Delta	brm
E(var)2-1	JIL-1
Hsc70-4	aux
l(2)gl|vg	yki
milt	par-1
sev	Sps1
dpp|lolal	Med
N	rn
mir-1000	mGluR
smo	dlp
bw	Mod(Prat:bw)3-2
park	Trim9
InR	Ras64B
Liprin-β	trio
Fmr1	l(2)gl
lqf|faf	Chc
N	S
Gcn2	GABA-B-R1
L	dco
Fak	Src64B|Src42A
vih	polo
egr	Tab2
pix	RpL14
pbl	Ptpmeg
trc	bsk
meru	fz
Snr1	Socs44A
Trpml	crq
pbl	CG44774
ham	CtBP
ct	Su(Tpl)
sev|Ras85D	ftz-f1
lin-52	hid
upd1	clu
br	E(br)420
Snr1	HDAC1
AMPKα	Trpml
RhoGEF2	Rok
Ret	l(3)S026238
milou	E2f1
Su(Raf)43B	rl
Cul1	insb
AdamTS-B	vn|Krn
E2f1|Dp	His2Av
mr	Liprin-α
rictor	trc
hid	sty
TFAM	sima
CycE	crb
Axud1	Dcr-2
Vang	fred
dpy	Sec13
ap|Bx	mir-14
Ercc1	pch2
egr	Mmp1
Egfr	Dhc64C
cindr	Traf6
Rab35	Rab27
mbl	tsu
Kr	piwi
peb	ms(3)neo94
ato	ci
Ubqn	Vha100-1
sns	hbs::sns
pnr	Pits
robo1|shot	kra
dlp	fz2
hpo	Hrb27C
Snr1	htt
Itpr	btl
fru	oaf
pcm	Dis3l2
egr	Sos
Ras85D|Csk	InR
w	Alh
shi	ctp
Eogt	dpy
egr	arm
stau	stau::Mdoa\stau
crol	stg
Ubx	ash1
Caf1-180	Blm
ninaE	superdeath
Rtel1	lok
Ret	l(3)06906
EMC3	yki
daw	Actβ
ND-42	sima
Pten	Rok
Delta	Bx
twi|Mef2	br
hiw	faf
vtd	Cat
egr	Tace
yki	Acn
hh	tkv
RhoGEF2	cta
Fbxl7	cindr
tor	Su(tor)2-87
egr	kay
rho-4	S
puc|bi	fu
Ret	l(3)S026421
run	RpL27A
mad2|bsk	hid
Apc2|Apc	hpo
BicD	stau|Dhc64C
kug	Sema5c
sicily	GLaz
shg	dsh
kon	Fak
His1	tefu
Pink1	Sirt1
Rab11	egr
mbc	Sos
kn	lola
ct	Cp190
nopo	Diap1
otu	Sxl
Ras85D|l(2)gl	arm
Rae1	wnd
Ankle2	ball
Ret	mew|mys
aos	Diap1
Ras85D	Rho1
Rala	Ras85D
comt	E(comt<up>6</up>)E32
Ras85D|scrib	ftz-f1
N	SERCA
ex|mtm	Rok
Rac1	Dronc
rod	grp
Ras85D|l(2)gl	Toll-7
Ubx	nej
Myc	Atg17
gcm	E2f2
Snr1	corto
fra	mys
Cln3	Keap1
scrib|Ire1	Atg13
pbl	RpL30
ZnT63C|Zip42C.1	ZnT41F
Vap33	NaPi-T
sima	Hph
oc	Kr-h1
CCT4	CycE
cindr	Uev1A
Nos	Hr3
mgr	Pfdn2
rpr	aspr
InR	Tl
Marcal1	psq
Cdc42	Dora
Tailor	Dis3l2
ato	Sumo
hid	Decay
rpr	mir-ban
iPLA2-VIA	lace
Dd	put
piwi	sgg
Vps35	Hrs
N	Pak
Ret	l(3)S081003
Trl	msl-1
Crtc	CrebB
grim	Bruce
Sms	GstE1
Csas	para
yki	N|ImpL2
Raf	tum
mthl5	Pka-C1
brm	tara
Wdr59	mio
trx	Gug
Ask1	hep
Pink1	Sod2
DCTN1-p150	EG79
shtd	Cdk1
ZnT86D	ZnT33D
ais	p53
Abd-B	Trl
tj	slbo
smo	swm
upd1	Ipk2
Wnt5	drl|Drl-2
Marcal1	Su(z)2
Sod1	SdhBL
pnr	EP1388
L	pan
Nf1	nAChRα6
trx|brm	sxc
Pc	Mi-2
Ras85D	SR3-10
Cisd	Drp1
Smn	Fas3
InR	srl
pbl	Cerk
sens	msk
nej	gl
Patj	sqh
for	foxo
Delta	Plexate
N	vtd
pbl	aurA
Myc	Ilp5
fh	Pdk1
frtz	frtz::pk
Scox	Diap1
Apc|Apc2	shg
tsr|Pc	flr
park	Usp32
lab	Ubx
Scm	gpp
CycE	dpp|Mad
βTub60D::βTub85D	βTub85D
Rbf|Stam	spi
Marcal1	E(z)
upd1	Mob2
mxc	TotA
Cul5	Src64B
Antp	tna
Delta	Axn
iPLA2-VIA	CG3740
Dys	Sema2a
eyg	toe
lz	Bro
ci	Egfr
NiPp1	Pp1α-96A
H	sc|ac
Ras85D	SM2-1
ro	gro
Src42A	bowl
Apc2|Apc	puc
pnr	GstS1
pzg	EcR
Pink1	Parp1
Atg1	wnd
fng	heph
Myc	Snr1
CycB	pim
ptc	babo
w	Pale
Ddrgk1	puc
Pc	Usp7
