Interactor 1	Interactor 2
ATPsynO	ATPsynE
l(2)gl	aPKC
Prp40	Gtpx
Rpt4	Rpn6
Fer1HCH	sphe
Rpn11	Rpn3
Rpn11	Prosalpha2
Vps24	shrb
regucalcin	Gtpx
Prosalpha5	Rpt1
Rpt6	Rpn1
Rpt5	Prosbeta4
Rpt6	Rpn13
MED6	MED11
betaTub85D	HisRS
Hexim	AP-2sigma
Gtpx	CG8036
Prosbeta5	Prosbeta7
Prosbeta3	Prosbeta4
CG8026	Pdss2
Dip-C	CG1227
CG4119	Gtpx
Trf	Brf
Arpc2	Arp3
CG4781	CG7702
Rpn6	Prosalpha2
Rbm13	CG6712
Ntf-2	CG42557
Mvb12	Vps37B
CG10209	Pdss2
Rh5	Nacalpha
Rpt3	Rpn11
dgt2	dgt3
Prosbeta6	Prosalpha3
awd	Gtpx
Tm1	CtsL3
Ugt36D1	CG11200
Df31	CG30339
Prosbeta1	Prosbeta4R2
Dlc90F	CG14763
Rnp4F	LSm3
Mtpbeta	Mtpalpha
l(1)G0004	CG14715
Rpt5	Rpn13
NC2beta	wds
Prosalpha5	Rpn11
MRP	CG8195
Mccc1	Mccc2
Atg5	Atg16
awd	CG30339
Strip	Mob4
Prosbeta2	Prosalpha2
dgt3	dgt6
Echs1	dpr5
Pfdn4	Pfdn5
Elp3	Elp1
CCT5	CCT2
Prosbeta2	Prosbeta5
gammaSnap1	alphaSnap
Prosalpha4	CG11885
CG12024	CG3529
alphaSnap	Bet1
dod	TpnC25D
Prosbeta6	Rpn6
ATPsynD	ATPsynF
Prosbeta4R2	Prosbeta7
cmb	Ude
Fer1HCH	Hrd3
SkpA	CG7407
ZnT63C	CG31729
vers	ssp
Echs1	CG8195
wal	Arl8
Prosalpha5	Rpt4
fax	Kdsr
Prosbeta7	Prosalpha6
alpha-PheRS	Smn
CG11095	UQCR-C1
Df31	CG11771
Rab35	strat
fax	Mec2
Prosbeta2R1	CG12321
AhcyL2	ssp
Prosbeta2R1	Prosalpha6
Rab2	Gale
Gbeta13F	Galphao
Prosalpha2	Prosalpha3
mago	Pym
Rpt4	Prosbeta4
drosha	pasha
Rpt2	Prosbeta7
ATPsynO	ATPsynF
Hsp23	CG14613
CaBP1	LanB1
Gnf1	CG3548
CycK	Cdk12
mago	tsu
CG10494	CG33523
BI-1	oya
eIF2beta	eIF5
TFAM	TfAP-2
Hel25E	Arl8
Fer1HCH	Atg4a
snf	snRNP-U1-70K
Treh	Irc
CG6984	Smn
CG3548	Ku80
Arf1	Hel25E
ATPsynD	ATPsynE
CCT6	CCT7
CG31855	pic
CG17819	Jhbp7
Nup214	mbo
Irbp	TfAP-2
regucalcin	CG1532
Pp1-87B	CG9933
Plekhm1	DEF8
Rpt1	Rpn1
Prosbeta2	Prosbeta3
snRNP-U1-70K	snRNP-U1-C
boca	BI-1
CG6712	RpL24-like
awd	Mip
CG4872	CG5194
Prosalpha7	PSMG1
Prosalpha5	Prosbeta7
Rho1	RhoGDI
kermit	CG7102
Ist1	Chmp1
dod	Snx3
Mfe2	CG10859
ecd	CG4849
CG8728	CG4612
Nlp	Tango2
betaTub85D	CG31125
Rpt6	Rpt5
Rab18	Vps37B
wac	dgt6
Atpalpha	nrv2
Prosbeta6	Rpn9
tsu	Pym
crn	CG9667
Prosalpha5	Prosalpha6
CG1105	atl
Hou	Mes2
CG5033	CG8939
snf	SNRPG
Rpt2	Rpn1
Prosalpha5	CG12321
CG11095	CG8728
Nost	Ect3
wdb	tant
Fer1HCH	Cyp6a13
Hexim	PIP4K
CycT	Hexim
Ufd1	Npl4
Cmpk	CG8132
CG8728	UQCR-C1
Df31	CG8891
Shawn	Swip-1
RpS21	CG6171
Vha55	CG8888
Coq6	CG8026
tant	Pp2A-29B
Arpc5	Arp3
Prosalpha7	Rpt4
viaf	CCT7
crn	Prp8
Gtpx	CG10638
Prosalpha7	Rpt5
sub	Trm1
CG1785	CG8939
ATPsynB	ATPsynF
HDAC1	Lint-1
Prosalpha4	Prosbeta2
RpS21	Hr39
AP-1-2beta	Hexim
CCT3	CCT6
CG3726	CG1532
Hel25E	CG1416
CG15717	CG15084
CG5033	Rbm13
Pfdn1	Pfdn5
Snap25	alphaSnap
iotaTry	Swip-1
Secp43	Prp39
Hmgs	daed
TSG101	Vps37B
